time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-11-27 09:30:00-05:00,MLTrader,bfd7f78ac8b646e6a8f41eed2c1fcf5a,GOOG,sell,market,fill,1,gtc,0.0,1,stock,137.57000732421875,2.1042538196420952e+27,0.0
2023-11-28 09:30:00-05:00,MLTrader,f9762ee8a66e43bc9ee5ef602f44f0fd,GOOG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-11-28 09:30:00-05:00,MLTrader,f9762ee8a66e43bc9ee5ef602f44f0fd,GOOG,sell,market,fill,1,gtc,0.0,1,stock,137.6300048828125,2.7343374558088694e+27,0.0
2023-11-29 09:30:00-05:00,MLTrader,628af3e23c7543beac7e422ba49a3d2f,GOOG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-11-29 09:30:00-05:00,MLTrader,628af3e23c7543beac7e422ba49a3d2f,GOOG,sell,market,fill,1,gtc,0.0,1,stock,138.98500061035156,3.519983728201416e+27,0.0
2023-11-30 09:30:00-05:00,MLTrader,c318d0fcd6374f3dba2b320c99e3839b,GOOG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-11-30 09:30:00-05:00,MLTrader,c318d0fcd6374f3dba2b320c99e3839b,GOOG,sell,market,fill,1,gtc,0.0,1,stock,136.39999389648438,4.6627012555360826e+27,0.0
2023-12-01 09:30:00-05:00,MLTrader,c8f628edc801404bbec6b4168290173c,GOOG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-12-01 09:30:00-05:00,MLTrader,c8f628edc801404bbec6b4168290173c,GOOG,sell,market,fill,1,gtc,0.0,1,stock,133.32000732421875,6.20154593619598e+27,0.0
2023-12-04 09:30:00-05:00,MLTrader,b8c3f6b56eea43e0a9a3fdfa9dd91602,GOOG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-12-04 09:30:00-05:00,MLTrader,b8c3f6b56eea43e0a9a3fdfa9dd91602,GOOG,sell,market,fill,1,gtc,0.0,1,stock,131.29400634765625,8.186414783319254e+27,0.0
2023-12-05 09:30:00-05:00,MLTrader,2b9ef15c34ea4c24a59f67832b532597,GOOG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-12-05 09:30:00-05:00,MLTrader,2b9ef15c34ea4c24a59f67832b532597,GOOG,sell,market,fill,1,gtc,0.0,1,stock,130.3699951171875,1.0717767931396916e+28,0.0
2023-12-06 09:30:00-05:00,MLTrader,085d829b064f40b09720e389908fb820,GOOG,sell,market,new,1,gtc,0.0,1,stock,,,
