Month,Asset Name,Open,Close,High,Low,Volume,Dividends,Splits,Date of High,Date of Low,Percent Change,PE Ratio,Beta
2000-09,BOUYGUES,22.794650270411772,18.216583251953125,24.45360436571755,17.769939117226546,18187598,,,2000-09-04 00:00:00+02:00,2000-09-28 00:00:00+02:00,-19.29327653257229,13.036101,0.865
2000-10,BOUYGUES,17.8815990687208,19.141769409179688,19.556500486566982,14.292520235533447,27832917,,,2000-10-27 00:00:00+02:00,2000-10-13 00:00:00+02:00,5.07881277421971,13.036101,0.865
2000-11,BOUYGUES,19.141767428989933,16.110984802246094,20.736915449892983,15.504828451598975,19551054,,,2000-11-06 00:00:00+01:00,2000-11-30 00:00:00+01:00,-15.833356583431312,13.036101,0.865
2000-12,BOUYGUES,16.23859873225423,15.393174171447754,19.04605411953313,14.994382858276367,17429552,,,2000-12-08 00:00:00+01:00,2000-12-20 00:00:00+01:00,-4.4554112588962695,13.036101,0.865
2001-01,BOUYGUES,15.393174171447754,16.270503997802734,18.982252724150307,14.742348851905014,35268031,,,2001-01-25 00:00:00+01:00,2001-01-03 00:00:00+01:00,5.699473133892741,13.036101,0.865
2001-02,BOUYGUES,16.302404948010707,13.523655891418457,17.131875834531833,12.697373409099905,30551835,,,2001-02-02 00:00:00+01:00,2001-02-22 00:00:00+01:00,-16.88237873120112,13.036101,0.865
2001-03,BOUYGUES,13.405615545330843,12.123119354248047,14.834872813624353,11.166028172158052,44943171,,,2001-03-07 00:00:00+01:00,2001-03-23 00:00:00+01:00,-10.356197676244715,13.036101,0.865
2001-04,BOUYGUES,12.521905496514853,15.383600234985352,15.606919872995732,11.740285641412509,31052693,,,2001-04-30 00:00:00+02:00,2001-04-04 00:00:00+02:00,26.894735467524722,13.036101,0.865
2001-05,BOUYGUES,15.383600234985352,13.86182975769043,15.871716469212583,13.71826626270384,27872542,,,2001-05-03 00:00:00+02:00,2001-05-31 00:00:00+02:00,-9.89216083393869,13.036101,0.865
2001-06,BOUYGUES,14.021339974813385,13.152514457702637,14.232467903756564,11.84450944546931,21373809,,,2001-06-11 00:00:00+02:00,2001-06-28 00:00:00+02:00,-5.11703947016281,13.036101,0.865
2001-07,BOUYGUES,12.855986149917367,12.684663772583008,13.307362036311233,11.366775430951801,22485615,,,2001-07-02 00:00:00+02:00,2001-07-11 00:00:00+02:00,-3.557119717482138,13.036101,0.865
2001-08,BOUYGUES,12.6648944929516,12.253053665161133,13.195342479548936,12.07514162611189,21667876,,,2001-08-07 00:00:00+02:00,2001-08-28 00:00:00+02:00,-3.4026137007649337,13.036101,0.865
2001-09,BOUYGUES,12.503452394382057,9.337230682373047,12.503452394382057,7.577851002314908,27857883,,,2001-09-03 00:00:00+02:00,2001-09-21 00:00:00+02:00,-23.796704580496442,13.036101,0.865
2001-10,BOUYGUES,9.561268526382754,11.202037811279297,12.493568946593063,8.862790491875199,31602298,,,2001-10-24 00:00:00+02:00,2001-10-03 00:00:00+02:00,19.971736720895827,13.036101,0.865
2001-11,BOUYGUES,10.921987368731232,12.684663772583008,12.921883860906863,10.44425578991518,27639924,,,2001-11-30 00:00:00+01:00,2001-11-12 00:00:00+01:00,13.235323664153853,13.036101,0.865
2001-12,BOUYGUES,12.684664120658699,12.12455940246582,13.442445819650954,11.795086113918602,15418427,,,2001-12-06 00:00:00+01:00,2001-12-27 00:00:00+01:00,-4.41560281107185,13.036101,0.865
2002-01,BOUYGUES,12.124559402465819,11.343714714050293,12.78350505710624,10.862685371555747,19892275,,,2002-01-04 00:00:00+01:00,2002-01-21 00:00:00+01:00,-6.440190216369624,13.036101,0.865
2002-02,BOUYGUES,11.234987787857985,10.872570037841797,11.478797470925228,10.052183455064316,19407203,,,2002-02-01 00:00:00+01:00,2002-02-20 00:00:00+01:00,-4.1533544177106085,13.036101,0.865
2002-03,BOUYGUES,10.790202748351454,12.328832626342773,12.832929272094365,10.790202748351454,21446442,,,2002-03-07 00:00:00+01:00,2002-03-01 00:00:00+01:00,13.393913154226444,13.036101,0.865
2002-04,BOUYGUES,12.328832626342773,11.037304878234863,12.46721230570305,10.648528068544259,24887469,,,2002-04-02 00:00:00+02:00,2002-04-30 00:00:00+02:00,-10.475669410486832,13.036101,0.865
2002-05,BOUYGUES,11.037304878234863,10.550935745239258,11.580701584569145,10.204347232884693,23517926,,,2002-05-17 00:00:00+02:00,2002-05-03 00:00:00+02:00,-4.40659326131968,13.036101,0.865
2002-06,BOUYGUES,10.487616874519919,9.779644966125488,10.69756889147422,8.752936278839991,22966063,,,2002-06-03 00:00:00+02:00,2002-06-26 00:00:00+02:00,-7.310164688111076,13.036101,0.865
2002-07,BOUYGUES,9.679394809007173,8.106492042541504,10.118422830387761,7.311398009179506,27821260,,,2002-07-08 00:00:00+02:00,2002-07-26 00:00:00+02:00,-17.108524178325624,13.036101,0.865
2002-08,BOUYGUES,8.213655833645094,8.728736877441406,9.247276402756473,7.052126227773864,20453657,,,2002-08-23 00:00:00+02:00,2002-08-06 00:00:00+02:00,7.675882880467477,13.036101,0.865
2002-09,BOUYGUES,8.67688282824,8.988007545471191,9.541113961205447,7.985496997399671,26735042,,,2002-09-17 00:00:00+02:00,2002-09-06 00:00:00+02:00,2.9703114169914446,13.036101,0.865
2002-10,BOUYGUES,8.988006356313736,9.191965103149414,9.74161947700763,8.20674127195078,29425276,,,2002-10-02 00:00:00+02:00,2002-10-09 00:00:00+02:00,2.2692188079102227,13.036101,0.865
2002-11,BOUYGUES,9.312957853066365,10.284354209899902,10.526340765825296,8.62157272549052,26581571,,,2002-11-28 00:00:00+01:00,2002-11-01 00:00:00+01:00,11.8841737810363,13.036101,0.865
2002-12,BOUYGUES,10.439916813702519,9.202338218688965,10.522882958817855,8.645772789036194,18642782,,,2002-12-02 00:00:00+01:00,2002-12-19 00:00:00+01:00,-10.520991100922695,13.036101,0.865
2003-01,BOUYGUES,9.202338218688965,8.182540893554688,9.776184711578447,7.812651420717188,26490576,,,2003-01-06 00:00:00+01:00,2003-01-27 00:00:00+01:00,-11.081937013173215,13.036101,0.865
2003-02,BOUYGUES,8.199828324886743,7.7919111251831055,8.275879347988752,7.401278303981049,25847028,,,2003-02-19 00:00:00+01:00,2003-02-07 00:00:00+01:00,-4.773942146494836,13.036101,0.865
2003-03,BOUYGUES,7.829939395273287,6.374572277069092,7.847224425604939,5.741953689280511,27484371,,,2003-03-03 00:00:00+01:00,2003-03-12 00:00:00+01:00,-18.18987441390647,13.036101,0.865
2003-04,BOUYGUES,6.391855521969952,7.703293800354004,7.843765664643496,5.963196815513743,38091724,,,2003-04-29 00:00:00+02:00,2003-04-01 00:00:00+02:00,20.844089070331062,13.036101,0.865
2003-05,BOUYGUES,7.703293800354004,7.963348388671875,8.486976147084514,7.464320636009803,30461328,,,2003-05-06 00:00:00+02:00,2003-05-23 00:00:00+02:00,3.3758882246698096,13.036101,0.865
2003-06,BOUYGUES,8.002006347832749,8.448318481445312,9.066830827302041,7.910635094423704,32009816,,,2003-06-17 00:00:00+02:00,2003-06-02 00:00:00+02:00,6.090027323974967,13.036101,0.865
2003-07,BOUYGUES,8.437776677193312,8.26557731628418,8.6943182205744,7.826292670677889,19961801,,,2003-07-15 00:00:00+02:00,2003-07-24 00:00:00+02:00,-2.1630477776433232,13.036101,0.865
2003-08,BOUYGUES,8.255033410724911,8.427233695983887,8.574833314950771,7.633008005105136,15897962,,,2003-08-29 00:00:00+02:00,2003-08-07 00:00:00+02:00,1.9557784473351214,13.036101,0.865
2003-09,BOUYGUES,8.567802893327503,7.945779323577881,9.193347803958764,7.80872208526763,21136462,,,2003-09-03 00:00:00+02:00,2003-09-30 00:00:00+02:00,-5.7130772656209805,13.036101,0.865
2003-10,BOUYGUES,7.942262388481547,8.223404884338379,8.697831219689327,7.886034036764088,19423478,,,2003-10-15 00:00:00+02:00,2003-10-01 00:00:00+02:00,3.4940003925944207,13.036101,0.865
2003-11,BOUYGUES,8.318290020899255,9.101974487304688,9.39365713605596,8.188261944244832,29931366,,,2003-11-26 00:00:00+01:00,2003-11-05 00:00:00+01:00,10.68376925766552,13.036101,0.865
2003-12,BOUYGUES,9.267145031559965,9.741572380065918,9.752115448884398,9.154687649561884,28386752,,,2003-12-31 00:00:00+01:00,2003-12-01 00:00:00+01:00,7.027023572229663,13.036101,0.865
2004-01,BOUYGUES,9.741572380065918,10.173828125,10.504168176301652,9.7380572207115,28874033,,,2004-01-29 00:00:00+01:00,2004-01-02 00:00:00+01:00,4.437227667872201,13.036101,0.865
2004-02,BOUYGUES,10.187886378180533,10.416312217712402,10.507683886310334,9.9102571509586,20262338,,,2004-02-19 00:00:00+01:00,2004-02-04 00:00:00+01:00,2.3834105484497936,13.036101,0.865
2004-03,BOUYGUES,10.437400876432537,9.839971542358398,10.820458355836127,9.506116734780722,32329474,,,2004-03-05 00:00:00+01:00,2004-03-25 00:00:00+01:00,-5.533058757339915,13.036101,0.865
2004-04,BOUYGUES,9.94891404768994,10.274635314941406,10.437400405166446,9.727515780256503,34658607,,,2004-04-28 00:00:00+02:00,2004-04-14 00:00:00+02:00,4.417327537096005,13.036101,0.865
